#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"115,682,370",+14,"1,533,239",,"110,142,624","+3,281","4,006,507","8,467",,,,,,North America,,,,,,,
,,Asia,,"188,085,078","+128,137","1,476,288",+257,"181,865,607","+205,691","4,743,183","11,197",,,,,,Asia,,,,,,,
,,Europe,,"224,718,619","+68,641","1,915,384",+151,"218,821,968","+126,160","3,981,267","8,953",,,,,,Europe,,,,,,,
,,South America,,"63,957,661","+1,602","1,328,280",,"62,142,054","+4,617","487,327","10,304",,,,,,South America,,,,,,,
,,Oceania,,"12,304,377","+2,537","20,460",+8,"12,120,727","+1,474","163,190",108,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,635,040",+17,"257,534",,"11,981,199",+81,"396,307","1,018",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"617,383,866","+200,948","6,531,200",+416,"597,074,885","+341,304","13,777,781","40,047","79,205",837.9,,,,All,,,,,,,
39,Romania,"3,254,049",+967,"66,921 ",+2,"3,160,269",+976,"26,859",127,"171,677","3,531","24,936,146","1,315,582","18,954,464 ",Europe,62831,51,0.1,"1,417"
40,Denmark,"3,102,420","+1,393","7,004 ",+11,"3,087,377","+1,396","8,039",,"531,487","1,200","128,319,973","21,982,950","5,837,250 ",Europe,28330,239,2,"1,377"
41,Sweden,"2,578,521",,"20,069 ",,"2,541,113","+1,116","17,339",12,"251,849","1,960","18,916,006","1,847,562","10,238,362 ",Europe,45101,,,"1,694"
42,Iraq,"2,458,509",,"25,348 ",,"2,431,657",,"1,504",21,"58,235",600,"19,239,264","455,724","42,216,932 ",Asia,"171,6652",,,36
43,Serbia,"2,333,969",,"16,882 ",,"2,266,313",,"50,774",24,"269,521","1,949","10,889,207","1,257,460","8,659,683 ",Europe,45131,,,"5,863"
44,Hungary,"2,070,443",,"47,409 ",,"1,988,759",,"34,275",10,"215,532","4,935","11,394,556","1,186,167","9,606,198 ",Europe,52031,,,"3,568"
45,Bangladesh,"2,018,215",+601,"29,340 ",+1,"1,960,977",+362,"27,898","1,331","11,991",174,"14,827,360","88,093","168,314,059 ",Asia,"835,73711",4,0.01,166
46,Singapore,"1,875,275",,"1,607 ",,"1,797,682",,"75,986",6,"315,067",270,"24,345,019","4,090,239","5,951,979 ",Asia,"33,7040",,,"12,767"
47,Slovakia,"1,839,213",+57,"20,436 ",,"1,814,892",+48,"3,885",22,"336,514","3,739","7,285,665","1,333,033","5,465,481 ",Europe,32671,10,,711
48,New Zealand,"1,769,694","+1,369","2,909 ",+3,"1,758,138","+1,471","8,647",,"353,790",582,"7,529,992","1,505,366","5,002,100 ",Australia/Oceania,"31,7201",274,0.6,"1,729"
49,Georgia,"1,762,206",,"16,900 ",,"1,637,293",,"108,013",,"443,628","4,255","16,920,079","4,259,558","3,972,262 ",Asia,22350,,,"27,192"
50,Jordan,"1,745,032",,"14,116  ",,"1,728,545",,"2,371",59,"167,359","1,354","17,188,470","1,648,474","10,426,900 ",Asia,67391,,,227
51,Hong Kong,"1,713,755","+6,260","9,901 ",+10,"1,407,131","+4,956","296,723",17,"224,568","1,297","54,352,132","7,122,227","7,631,339 ",Asia,47710,820,1,"38,882"
52,Ireland,"1,660,635",,"7,862 ",,"1,646,555",+655,"6,218",12,"328,212","1,554","12,682,485","2,506,598","5,059,640 ",Europe,36440,,,"1,229"
53,Pakistan,"1,571,894",+72,"30,607 ",+1,"1,535,895",,"5,392",89,"6,823",133,"30,369,868","131,831","230,369,554 ",Asia,"1477,5278",0.3,,23
54,Norway,"1,461,513",,"4,038 ",,"1,456,328",,"1,147",20,"265,013",732,"11,002,430","1,995,044","5,514,881 ",Europe,"41,3661",,,208
55,Kazakhstan,"1,392,554",+49,"13,690 ",,"1,365,645","+1,490","13,219",24,"72,255",710,"11,575,012","600,585","19,272,901 ",Asia,"141,4082",3,,686
56,Finland,"1,277,473",,"5,858 ",,"1,255,280","+1,201","16,335",21,"229,773","1,054","11,449,717","2,059,403","5,559,727 ",Europe,49490,,,"2,938"
